,car_id,name,amount,region,use_type,milage
133,/uHPxre4Ri0A77stXUnrbqglB,Toyota Venza 2009 White,"₦ 12,376,000","Lagos State, Amuwo-Odofin",Foreign Used,294694 km
134,/ftAJa1THygkAItRgXal1jjl6,Toyota Camry 1999 Gray,"₦ 1,560,000","Kwara State, Ilorin East",Nigerian Used,381719 km
135,/tOqj79vBupx8K5sxKheE3Dfs,Infiniti FX35 2009 Black,"₦ 3,885,000","Lagos State, Alimosho",Nigerian Used,90432 km
136,/zM83IYhN4tGSewHzwzrRjvpU,Honda Civic 2005 Black,"₦ 1,207,500","Lagos State, Ogudu",Nigerian Used,...
137,/kWkFxW6qJhQ1HcAgu3FcEMyv,Lexus GX 2011 Black,"₦ 20,800,000","Lagos State, Lekki",Foreign Used,105484 km
138,/58sOkMYt1fTjAAoDrkQ0tjw4,Cadillac Escalade 2007 Gold,"₦ 7,460,000","Lagos State, Amuwo-Odofin",Foreign Used,220494 km
139,/pzmnJnPylruTVyxlqzE8DmmG,Toyota Venza 2009 Black,"₦ 6,300,000","Abuja (FCT), Jabi",Nigerian Used,75127 km
140,/mELJoGJAqDfVuwKBt8htgFbJ,Toyota Sequoia 2011 Black,"₦ 8,400,000","Lagos State, Ajah",Nigerian Used,139867 km
141,/2Ux9AGkeESDUOGxGmHdd9fXt,Nissan Sentra 2007 White,"₦ 1,155,000","Lagos State, Ilupeju",Nigerian Used,39248 km
142,/6fVlBD8xkGOzGs2T6ppXVxHj,Lexus RX 350 2010 Silver,"₦ 8,840,000","Ogun State, Ado-Odo/Ota",Nigerian Used,120929 km
143,/g8P2PZJ0JG7VWtRHFORiDohb,Toyota Camry 2002 Gray,"₦ 2,600,000","Lagos State, Magodo",Nigerian Used,192336 km
144,/p88JYGRYxDSUMZfB7MOTFCOg,Toyota Camry 2002 Silver,"₦ 2,288,000","Ondo State, Akure",Nigerian Used,352596 km
145,/A4cuGS4UtJwzQ9MlqI2lLO2f,Ford Explorer 2008 Teal,"₦ 2,310,000","Lagos State, Ogba",Nigerian Used,401448 km
146,/7C6snY58VMXoZ2G3HAKJniiR,Lexus IS 250 2010 Red,"₦ 4,992,000","Abuja (FCT), Garki 2",Nigerian Used,185642 km
147,/qb3H6tyqSazjGnwS0FH93x9Q,Mercedes-Benz M Class 2013 Silver,"₦ 10,263,750","Abuja (FCT), Wuse",Nigerian Used,55694 km
148,/CkDqct2L0rca6M5GeqgwLnKW,Jaguar XJ 2011 Black,"₦ 16,380,000","Lagos State, Ikoyi",Nigerian Used,96920 km
149,/rlnLqHqXCr6NmDmfL2z6vJaD,Lexus RX 330 2004 Black,"₦ 4,368,000","Lagos State, Alimosho",Nigerian Used,301904 km
150,/dFHyv3bb48BHd08O0SUJyGWM,Infiniti G35 2003 Black,"₦ 1,260,000","Lagos State, Alimosho",Nigerian Used,181219 km
151,/i0hQ7WcE2V8kVuqsI8Ta9QuR,Toyota Highlander 2003 Blue,"₦ 3,640,000","Abuja (FCT), Garki 2",Nigerian Used,239751 km
152,/5LP8Nuuf7CLg1l1hEy0tv5m7,BMW 328i 2009 White,"₦ 3,150,000","Kaduna State, Kaduna / Kaduna State",Foreign Used,156715 km
153,/oXL8YOCTFa2ykAJndXzewCLx,Toyota Avalon 2015 Off white,"₦ 8,190,000","Lagos State, Victoria Island",Nigerian Used,209814 km
154,/wR0Itz3sAzw6yXkq4sMvsybA,Toyota Corolla 2014 Black,"₦ 4,725,000","Lagos State, Yaba",Nigerian Used,118199 km
155,/bhdW84i9Mb4HG0SG63mNexY2,Toyota Camry 2012 Red,"₦ 6,300,000","Lagos State, Lekki",Foreign Used,221627 km
156,/5tsBHLuXoDNQAaE5vREgEeYl,Toyota Camry 2005 Brown,"₦ 2,704,000","Lagos State, Ikeja",Nigerian Used,263334 km
157,/rI4mLha8hqMpmwqrlG1thJr2,Land Rover Range Rover Vogue 2017 Black,"₦ 14,700,000","Abuja (FCT), Jabi",Nigerian Used,42082 km
158,/dzRjtXzN2ToV3zHUJYgVETbK,Honda Pilot 2003 Black,"₦ 1,470,000","Lagos State, Surulere",Nigerian Used,365864 km
